FP005549 degs1_1
FP002165 imp4_1
FP002620 sox21a_1
FP006014 commd5_1
FP000660 agfg1b_1
FP003087 H2AFY-13_1
FP010656 zgc:171759-1_1
FP010258 PHC3-2_1
FP001224 cbx1a_1
FP000843 kif2c_1
FP008871 zgc:113348_1
FP008630 kidins220b_1
FP000821 ubtfl_1
FP003607 vsig8b_1
FP006632 zgc:165514-1_1
FP000599 zzz3_1
FP006433 lim2.3_1
FP006323 schip1_2
FP000061 fam134a_1
FP006770 stmn2a_1
FP006195 cul4b_1
FP003025 cyp24a1_1
FP002955 rbp7b_1
FP009469 inadl_2
FP007287 zgc:162183_1
FP000001 f7_1
FP009663 cnbpa_2
FP007244 marcksb_1
FP009761 ikbkg_1
FP002441 coq4_2
FP002339 ubb_1
FP000578 C2H1orf123_1
FP010135 tceb1a_1
FP004253 rab5b_1
FP005933 tmem50a_1
FP004680 wdr74_1
FP008423 ak7a_1
FP003122 abhd2a_1
FP008173 gabbr1b_1
FP000399 fstl1a_1
FP007217 lrrc57_1
FP005735 sertad2b_1
FP005168 ubtd1b_1
FP001565 cdr2l_1
FP005893 bai3_1
FP000484 si:ch73-131e21.5_1
FP008588 rwdd2b_1
FP003750 fzr1_1
FP010276 abcd3a_1
FP000203 mnd1_1
FP007382 MIS18BP1_1
FP004457 ripply3_1
FP000457 rnf150a_1
FP006279 ube2d2l_1
FP009672 csrp1a_1
FP009276 cdkn2aipnl_1
FP008149 thap7_1
FP001258 mapk3_1
FP008397 akap7_1
FP009073 alg8_1
FP008351 sdc2_1
FP000302 hand2_1
FP005806 rtn1a_1
FP010588 fezf1_1
FP008126 satb1a_1
FP009812 klhl17_1
FP007526 kif26ab_2
FP001929 si:dkey-199m13.9_1
FP005581 psap_1
FP004400 gulp1a_1
FP004497 LYRM7_1
FP007008 zgc:113232_1
FP006060 dusp1_1
FP001535 nprl3_1
FP000020 mrpl39_1
FP007725 bida_1
FP001413 psmc3ip_1
FP000492 tecrb_1
FP001830 sinup_1
FP000312 irf2a_3
FP007926 C19H16orf80_1
FP003051 nop10_1
FP002426 nup88_1
FP007933 sp8a_1
FP005576 c1d_1
FP007742 ranbp10_1
FP005556 pno1_1
FP004954 rpn2_1
FP002336 ncor1_1
FP001318 zgc:171779_1
FP009883 ube4b_1
FP006780 iffo1b_1
